time,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,gamma1_deg,gamma2_deg,varpi1_rpm,varpi2_rpm,euler_roll_deg,euler_pitch_deg,euler_yaw_deg
0.720010317,0.9999999999948542,3.208052093417481e-06,0.0,0.0,1.4543637064354542e-18,0.0,0.0,0.0,0.0,1420.1993599999998,-1420.1993599999998,0.0003676156908224909,0.0,0.0
0.730023834,0.9999999999948542,3.2080520936375905e-06,0.0,0.0,-8.040144232210709e-19,0.0,0.0,0.0,0.0,1440.0206340000002,-1440.0206340000002,0.00036761569084771357,0.0,0.0
0.740072263,0.9999999999948542,3.2080520938576963e-06,0.0,0.0,-8.040144232210709e-19,0.0,0.0,0.0,0.0,1460.0476680000002,-1460.0476680000002,0.00036761569087293586,0.0,0.0
0.750137414,0.9999999999948542,3.208052094077802e-06,0.0,0.0,-8.0401442427271025e-19,0.0,0.0,0.0,0.0,1480.1445259999998,-1480.1445259999998,0.00036761569089815814,0.0,0.0
0.760194743,0.9999999999948542,3.2080520942979048e-06,0.0,0.0,-1.9332034891009726e-18,0.0,0.0,0.0,0.0,1500.2748279999998,-1500.2748279999998,0.00036761569092338004,0.0,0.0
0.770156135,0.9999999999948542,3.208052094518018e-06,0.0,0.0,1.4543637095903718e-18,0.0,0.0,0.0,0.0,1520.389486,-1520.389486,0.0003676156909486032,0.0,0.0
0.780163784,0.9999999999948542,3.2080520947381307e-06,0.0,0.0,3.2517464371046986e-19,0.0,0.0,0.0,0.0,1540.31227,-1540.31227,0.0003676156909738262,0.0,0.0
0.790162045,0.9999999999948542,3.2080520949582407e-06,0.0,0.0,3.2517464476210912e-19,0.0,0.0,0.0,0.0,1560.3275680000002,-1560.3275680000002,0.00036761569099904895,0.0,0.0
0.800070237,0.9999999999948542,3.2080520951783477e-06,0.0,0.0,-8.040144200661533e-19,0.0,0.0,0.0,0.0,1580.3240899999998,-1580.3240899999998,0.00036761569102427134,0.0,0.0
0.810190545,0.9999999999948542,3.2080520953984534e-06,0.0,0.0,-8.040144148079569e-19,0.0,0.0,0.0,0.0,1600.140474,-1600.140474,0.0003676156910494936,0.0,0.0
0.820060598,0.9999999999948542,3.208052095618559e-06,0.0,0.0,-8.040144158595962e-19,0.0,0.0,0.0,0.0,1620.3810899999999,-1620.3810899999999,0.00036761569107471585,0.0,0.0
0.830160369,0.9999999999948542,3.2080520958386683e-06,0.0,0.0,3.251746489686662e-19,0.0,0.0,0.0,0.0,1640.1211960000003,-1640.1211960000003,0.0003676156910999385,0.0,0.0
0.840118827,0.9999999999948542,3.2080520960587715e-06,0.0,0.0,-1.933203480687859e-18,0.0,0.0,0.0,0.0,1660.3207380000001,-1660.3207380000001,0.0003676156911251605,0.0,0.0
0.85005851,0.9999999999948542,3.2080520962788866e-06,0.0,0.0,1.4543637137969285e-18,0.0,0.0,0.0,0.0,1680.237654,-1680.237654,0.00036761569115038384,0.0,0.0
0.860052467,0.9999999999948542,3.2080520964989982e-06,0.0,0.0,3.2517465107194433e-19,0.0,0.0,0.0,0.0,1700.11702,-1700.11702,0.0003676156911756068,0.0,0.0
0.870056107,0.9999999999948542,3.208052096719115e-06,0.0,0.0,1.454363715900207e-18,0.0,0.0,0.0,0.0,1720.1049340000002,-1720.1049340000002,0.0003676156912008303,0.0,0.0
0.880073926,0.9999999999948542,3.2080520969392267e-06,0.0,0.0,3.2517465107194423e-19,0.0,0.0,0.0,0.0,1740.1122140000002,-1740.1122140000002,0.00036761569122605324,0.0,0.0
0.890068667,0.9999999999948542,3.2080520971593434e-06,0.0,0.0,1.4543637169518462e-18,0.0,0.0,0.0,0.0,1760.147852,-1760.147852,0.00036761569125127677,0.0,0.0
0.900051476,0.9999999999948542,3.2080520973794653e-06,0.0,0.0,2.5835527817801088e-18,0.0,0.0,0.0,0.0,1780.1373339999996,-1780.1373339999996,0.00036761569127650084,0.0,0.0
0.910051693,0.9999999999948542,3.208052097599578e-06,0.0,0.0,3.25174654226862e-19,0.0,0.0,0.0,0.0,1800.1029519999997,-1800.1029519999997,0.0003676156913017239,0.0,0.0
0.920089951,0.9999999999948542,3.2080520978196844e-06,0.0,0.0,-8.040144106014004e-19,0.0,0.0,0.0,0.0,1820.1033859999998,-1820.1033859999998,0.0003676156913269463,0.0,0.0
0.930071978,0.9999999999948542,3.2080520980397867e-06,0.0,0.0,-1.933203475429663e-18,0.0,0.0,0.0,0.0,1840.179902,-1840.179902,0.0003676156913521681,0.0,0.0
0.940069945,0.9999999999948542,3.2080520982598916e-06,0.0,0.0,-8.040144106014005e-19,0.0,0.0,0.0,0.0,1860.143956,-1860.143956,0.0003676156913773903,0.0,0.0
0.949984984,0.9999999999948542,3.208052098480011e-06,0.0,0.0,2.5835527828317474e-18,0.0,0.0,0.0,0.0,1880.13989,-1880.13989,0.0003676156914026141,0.0,0.0
0.960008671,0.9999999999948542,3.2080520987001302e-06,0.0,0.0,1.4543637180034848e-18,0.0,0.0,0.0,0.0,1899.9699679999999,-1899.9699679999999,0.0003676156914278379,0.0,0.0
0.970051037,0.9999999999948542,3.2080520989202487e-06,0.0,0.0,1.4543637180034848e-18,0.0,0.0,0.0,0.0,1920.0173419999999,-1920.0173419999999,0.00036761569145306165,0.0,0.0
0.980122643,0.9999999999948542,3.208052099140367e-06,0.0,0.0,1.4543637222100418e-18,0.0,0.0,0.0,0.0,1940.102074,-1940.102074,0.00036761569147828534,0.0,0.0
0.990054893,0.9999999999948542,3.2080520993604856e-06,0.0,0.0,1.4543637211584026e-18,0.0,0.0,0.0,0.0,1960.2452859999999,-1960.2452859999999,0.0003676156915035091,0.0,0.0
1.000006506,0.9999999999948542,3.208052099580604e-06,0.0,0.0,1.4543637201067634e-18,0.0,0.0,0.0,0.0,1980.109786,-1980.109786,0.0003676156915287328,0.0,0.0
1.0100742,0.9999999999948542,3.2080520998007225e-06,0.0,0.0,1.4543637211584026e-18,0.0,0.0,0.0,0.0,2000.0130120000001,-2000.0130120000001,0.00036761569155395647,0.0,0.0
1.020172015,0.9999999999948542,3.2080521000208448e-06,0.0,0.0,2.5835527859866653e-18,0.0,0.0,0.0,0.0,2020.1484,-2020.1484,0.00036761569157918065,0.0,0.0
1.030154238,0.9999999999948542,3.2080521002409636e-06,0.0,0.0,1.4543637211584026e-18,0.0,0.0,0.0,0.0,2040.3440299999997,-2040.3440299999997,0.0003676156916044044,0.0,0.0
1.040074459,0.9999999999948542,3.2080521004610707e-06,0.0,0.0,-8.040144053432046e-19,0.0,0.0,0.0,0.0,2060.3084759999997,-2060.3084759999997,0.00036761569162962684,0.0,0.0
1.050083184,0.9999999999948542,3.2080521006811726e-06,0.0,0.0,-1.9332034712231065e-18,0.0,0.0,0.0,0.0,2080.148918,-2080.148918,0.00036761569165484864,0.0,0.0
1.0600834,0.9999999999948542,3.208052100901274e-06,0.0,0.0,-1.933203470171467e-18,0.0,0.0,0.0,0.0,2100.1663679999997,-2100.1663679999997,0.00036761569168007043,0.0,0.0
1.07008039,0.9999999999948542,3.208052101121391e-06,0.0,0.0,1.4543637253649595e-18,0.0,0.0,0.0,0.0,2120.1668,-2120.1668,0.00036761569170529396,0.0,0.0
1.08006447,0.9999999999948542,3.208052101341517e-06,0.0,0.0,3.712741855021483e-18,0.0,0.0,0.0,0.0,2140.16078,-2140.16078,0.0003676156917305185,0.0,0.0
1.090066349,0.9999999999948542,3.2080521015616515e-06,0.0,0.0,4.8419309198497475e-18,0.0,0.0,0.0,0.0,2160.12894,-2160.12894,0.0003676156917557441,0.0,0.0
1.100049354,0.9999999999948542,3.2080521017817754e-06,0.0,0.0,2.5835527912448616e-18,0.0,0.0,0.0,0.0,2180.132698,-2180.132698,0.00036761569178096846,0.0,0.0
1.110062675,0.9999999999948542,3.208052102001902e-06,0.0,0.0,3.712741856073123e-18,0.0,0.0,0.0,0.0,2200.098708,-2200.098708,0.00036761569180619307,0.0,0.0
1.120071204,0.9999999999948542,3.208052102222029e-06,0.0,0.0,3.712741853969844e-18,0.0,0.0,0.0,0.0,2220.1253500000003,-2220.1253500000003,0.0003676156918314178,0.0,0.0
1.130071617,0.9999999999948542,3.2080521024421634e-06,0.0,0.0,4.841930917746469e-18,0.0,0.0,0.0,0.0,2240.142408,-2240.142408,0.00036761569185664333,0.0,0.0
1.140003867,0.9999999999948542,3.208052102662299e-06,0.0,0.0,4.841930918798108e-18,0.0,0.0,0.0,0.0,2260.143234,-2260.143234,0.00036761569188186897,0.0,0.0
1.150182068,0.9999999999948542,3.208052102882438e-06,0.0,0.0,5.9711199825747305e-18,0.0,0.0,0.0,0.0,2280.007734,-2280.007734,0.0003676156919070951,0.0,0.0
1.160219251,0.9999999999948542,3.2080521031025776e-06,0.0,0.0,5.97111998362637e-18,0.0,0.0,0.0,0.0,2300.3641359999997,-2300.3641359999997,0.00036761569193232124,0.0,0.0
1.170065638,0.9999999999948542,3.2080521031025776e-06,0.0,0.0,5.97111998362637e-18,0.0,0.0,0.0,0.0,2320.438502,-2320.438502,0.00036761569193232124,0.0,0.0
1.180179491,0.9999999999948542,3.2080521033227173e-06,0.0,0.0,5.97111998362637e-18,0.0,0.0,0.0,0.0,2340.131276,-2340.131276,0.00036761569195754737,0.0,0.0
1.190107144,0.9999999999948542,3.2080521035428527e-06,0.0,0.0,4.8419309198497475e-18,0.0,0.0,0.0,0.0,2360.358982,-2360.358982,0.000367615691982773,0.0,0.0
1.200105601,0.9999999999948542,3.2080521037629923e-06,0.0,0.0,5.971119984678009e-18,0.0,0.0,0.0,0.0,2380.214288,-2380.214288,0.00036761569200799914,0.0,0.0
1.210072665,0.9999999999948542,3.208052103983119e-06,0.0,0.0,3.7127418560731234e-18,0.0,0.0,0.0,0.0,2400.211202,-2400.211202,0.00036761569203322387,0.0,0.0
1.220090289,0.9999999999948542,3.2080521042032758e-06,0.0,0.0,9.358687180214438e-18,0.0,0.0,0.0,0.0,2420.14533,-2420.14533,0.00036761569205845195,0.0,0.0
1.230094418,0.9999999999948542,3.2080521044234323e-06,0.0,0.0,9.358687180214438e-18,0.0,0.0,0.0,0.0,2440.1805780000004,-2440.1805780000004,0.00036761569208368003,0.0,0.0
1.240065296,0.9999999999948542,3.208052104643593e-06,0.0,0.0,1.04878762450427e-17,0.0,0.0,0.0,0.0,2460.188836,-2460.188836,0.0003676156921089086,0.0,0.0
1.249977792,0.9999999999948542,3.208052104863754e-06,0.0,0.0,1.04878762450427e-17,0.0,0.0,0.0,0.0,2480.1305920000004,-2480.1305920000004,0.0003676156921341372,0.0,0.0
1.26018318,0.9999999999948542,3.208052105083916e-06,0.0,0.0,1.2746254375750863e-17,0.0,0.0,0.0,0.0,2499.955584,-2499.955584,0.00036761569215936586,0.0,0.0
1.270029879,0.9999999999948542,3.2080521053040895e-06,0.0,0.0,1.2746254375750863e-17,0.0,0.0,0.0,0.0,2520.3663600000004,-2520.3663600000004,0.0003676156921845959,0.0,0.0
1.28015889,0.9999999999948542,3.2080521055242597e-06,0.0,0.0,1.3875443441630768e-17,0.0,0.0,0.0,0.0,2540.059758,-2540.059758,0.00036761569220982555,0.0,0.0
1.290133292,0.9999999999793657,6.4240529026532975e-06,0.0,0.0,0.006432001593541285,0.0,0.0,0.0,0.0,2560.31778,-2560.31778,0.0007361422373866628,0.0,0.0
1.30006623,0.9999999999793657,6.424052907625893e-06,0.0,0.0,-2.3261133326475864e-16,0.0,0.0,0.0,0.0,2580.266584,-2580.266584,0.0007361422379564803,0.0,0.0
1.310061656,0.9999999999793657,6.424052909392152e-06,0.0,0.0,-2.3148214420098204e-16,0.0,0.0,0.0,0.0,2600.1324600000003,-2600.1324600000003,0.0007361422381588786,0.0,0.0
1.32008515,0.9999999999793657,6.42405291115841e-06,0.0,0.0,-2.314821442020337e-16,0.0,0.0,0.0,0.0,2620.123312,-2620.123312,0.000736142238361277,0.0,0.0
1.330074611,0.9999999999793657,6.424052912924669e-06,0.0,0.0,-2.3261133326686194e-16,0.0,0.0,0.0,0.0,2640.1702999999998,-2640.1702999999998,0.0007361422385636753,0.0,0.0
1.340081969,0.9999999999793657,6.4240529146909274e-06,0.0,0.0,-2.314821442020337e-16,0.0,0.0,0.0,0.0,2660.149222,-2660.149222,0.0007361422387660736,0.0,0.0
1.350056664,0.9999999999793657,6.424052916457186e-06,0.0,0.0,-2.3148214420308534e-16,0.0,0.0,0.0,0.0,2680.1639380000006,-2680.1639380000006,0.0007361422389684719,0.0,0.0
1.360084167,0.9999999999793657,6.4240529182234445e-06,0.0,0.0,-2.3148214419993044e-16,0.0,0.0,0.0,0.0,2700.113328,-2700.113328,0.0007361422391708702,0.0,0.0
1.370134944,0.9999999999538448,9.607824531782338e-06,0.0,0.0,6.348043618542576e-12,0.0,0.0,0.0,0.0,2720.168334,-2720.168334,0.001100975591963707,0.0,0.0
1.37998378,0.9999999999538448,9.607824537693188e-06,0.0,0.0,-3.6826562385539277e-16,0.0,0.0,0.0,0.0,2740.269888,-2740.269888,0.0011009755926410405,0.0,0.0
1.390123255,0.9999999999538448,9.607824543604038e-06,0.0,0.0,-3.6826562385539277e-16,0.0,0.0,0.0,0.0,2759.9675600000005,-2759.9675600000005,0.001100975593318374,0.0,0.0
1.400099417,0.9999999999538448,9.607824549514892e-06,0.0,0.0,-3.671364347895128e-16,0.0,0.0,0.0,0.0,2780.24651,-2780.24651,0.0011009755939957078,0.0,0.0
1.409974168,0.9999999999538448,9.607824555425759e-06,0.0,0.0,-3.6713643479056447e-16,0.0,0.0,0.0,0.0,2800.1988340000003,-2800.1988340000003,0.0011009755946730434,0.0,0.0
1.420194908,0.9999999999538448,9.607824561336622e-06,0.0,0.0,-3.6826562385539277e-16,0.0,0.0,0.0,0.0,2819.948336,-2819.948336,0.0011009755953503785,0.0,0.0
1.430152881,0.9999999999538448,9.607824567247472e-06,0.0,0.0,-3.6826562385539277e-16,0.0,0.0,0.0,0.0,2840.389816,-2840.389816,0.001100975596027712,0.0,0.0
1.440100389,0.9999999999184697,1.2769520137363596e-05,0.0,0.0,6.3038671505033506e-12,0.0,0.0,0.0,0.0,2860.3057620000004,-2860.3057620000004,0.0014632792205962655,0.0,0.0
