,Star ID,RA,DE,Magnitude
102,2941,0.16294835011134212,-0.43227035744133474,5.57
103,2942,0.16298607487952518,0.6178378538670068,5.45
104,3031,0.16823125284121745,0.5115865721541891,4.34
105,3083,0.17088912138396464,0.8614000723863245,5.45
106,3092,0.1716004641800024,0.5386264781152601,3.27
107,3093,0.1717553848403972,0.3708907118568461,5.88
108,3138,0.17421089449914748,0.374172326167671,5.36
109,3170,0.1763996893993262,-1.0376786008544443,5.89
110,3179,0.17674662193378038,0.9867625778106546,2.24
111,3193,0.17761431917819342,-0.0759539487372948,5.9
112,3231,0.17941872136764955,0.6886836064598862,5.3
113,3245,0.1803180872622742,-0.8043351046385089,4.59
114,3277,0.18227034763730687,-0.9861339877067049,5.72
115,3299,0.18350839886207124,1.1544932784254474,5.83
116,3300,0.18354286178441526,0.881609888010451,4.8
